,id,comment,author,likecount,publishedAt
52,UgwNxxKCpM7QQBJ_AO54AaABAg,Интересно посмотреть несколько безалкогольных коктейлей! 😉,Максим Потапов,0,2021-07-06T09:03:09Z
53,UgwM-5oZ0LQzJ5Lc_g94AaABAg,На месте!),Ans_ Zorik,0,2021-07-06T09:02:50Z
54,UgwbVCc-MMIOWZBV9Qh4AaABAg,"Смотрю почти все выпуски с разными коктейлями, но пью все равно только виски с колой",Gafur Khussainov,1,2021-07-06T09:00:23Z
55,Ugzf9sTsE3cgXHdtFIF4AaABAg,"2:31 - не разговаривай с незнакомыми мёртвыми мужчинами.
Отличный ролик, пупсики! Обнял
Береги себя, биочеловек Евграф ))",Роман Шиблёв,2,2021-07-06T08:57:33Z
56,UgyPxvkDMAEWJtsZ3kh4AaABAg,Какие же крутые джигеры,Максим Гурин,1,2021-07-06T08:56:18Z
57,UgxiNm-BiepKVwl_Cy54AaABAg,"В номер два - Евграф нассал за кадром, вот и солененький.)))",Алексей Павлов,0,2021-07-06T08:51:50Z
58,Ugx0YWxAXmFGhj78fkF4AaABAg,Уже с утра в рекомендованных был ролик с Василием и Оживителем трупов номер 1. Ютуб постепенно становится скайнетом,Михаил Романов,7,2021-07-06T08:51:33Z
59,Ugx3J8Hcp_Daaunf_ax4AaABAg,"После бурной ночи в 11 вставать - такое себе. Обычно просыпаешься в 4, да и то, если повезёт)",Иван Рязанский,1,2021-07-06T08:50:12Z
60,UgxOdbOZXmcVSPsHNKZ4AaABAg,"Ну наконец-то,кто-то другой,а то только Феникс,Феникс.
Ещё бы Наталья появилась бы,то тогда вообще хорошо.",EdgAr4839,3,2021-07-06T08:49:58Z
61,UgzNCTwdWBwCeMS1ERV4AaABAg,"Виталий ешь побольше пожалуйста, Вы как скелет",Сергей Тарабукин,1,2021-07-06T08:47:59Z
62,UgwM47kEAowxIdjgwYZ4AaABAg,"Евграф, оказывается, биочеловек...",Константин Катасонов,2,2021-07-06T08:45:21Z
63,UgxuUzOAGYkW7SRK6y94AaABAg,оживители трупов  по-русски это фиксики))),Arthur Hasiev,0,2021-07-06T08:44:05Z
64,Ugw6CxJZNGZtraiMuot4AaABAg,А почему нельзя шейковать вермут?,CG,0,2021-07-06T08:43:58Z
65,UgxKjQMjPqgU5APTMFd4AaABAg,"Евграф, прошу, посвяти шейк тестированию джинов и водки ахах",PrisvizRU,5,2021-07-06T08:38:35Z
66,UgyyVTiNEdOy62KBAsN4AaABAg,"Позвольте позанудствовать. Алкоголь - депрессант, безусловно. Однако это связано со снижением активности нервной системы, а не с депрессивным настроением после возлияний.
Депрессанты (от лат. depressio, подавление) — вещества, угнетающие, снижающие или подавляющие психическое возбуждение.",Lexx Xell [bmd.GG],7,2021-07-06T08:36:20Z
67,UgzlavmTod5yOyLNjhF4AaABAg,"То ощущение когда создал канал, что бы тебя спонсировали алкоголем. 😃😃",Андрей Кочкин,3,2021-07-06T08:35:20Z
68,Ugwan--93WlOIPEYp5F4AaABAg,А как же знаменитые фразы при таком открывании бутылок (добрый вечер) 😅,Шерзод Байматов,4,2021-07-06T08:35:06Z
69,UgwqCn1hwyNMG51anaF4AaABAg,"Точно, Виталик - это же трудовик!!! Всё думал, на кого же он похож. Похмелился и в школу... 😂😂😂🤔",Азамат Шакиров,28,2021-07-06T08:32:42Z
70,UgzwUja_T-fjqwXcbHN4AaABAg,"Евграф, я понимаю, что ты просто шутишь, но честно уже не приятно смотреть на этот харассмент в сторону Виталика. Он веселый, чуть странноватый, интересный внешностью, голосом и вообще здоровский. Ты либо его не зови, либо прекрати пожалуйста. Спасибо.",Имя Фамилия,1,2021-07-06T08:31:49Z
71,Ugws65zGR74fBsgEWnF4AaABAg,После номер 1 будет дубль два),Роман Сербиенко,0,2021-07-06T08:30:08Z
72,UgwG1yXlnVyaHuYan_Z4AaABAg,"Как насчёт подборки  коктейлей, которые можно создать на основе ингредиентов купленных в Аптеке?))",Ser Red,0,2021-07-06T08:29:47Z
