,id,comment,author,likecount,publishedAt
82,UgyDCRKHrbRubHmV1gF4AaABAg,"Я один считаю, что оп2 лучше, чем оп2.1?",Элиа́ш Грушевский,1,2021-07-03T13:21:20Z
83,UgwQ03kAQVSNzJC7iFt4AaABAg,"11/10
Vasyan is back! 🙂",Д А Н И К,1,2021-07-03T13:21:05Z
84,UgxfrElkSDU3uJckBu54AaABAg,"Толик: ааааргх, ай ниид э мэдик бэг",Cycle Mono,1,2021-07-03T13:19:45Z
85,Ugx0fK1DvT_lIouHtT54AaABAg,"Vasyan blyat, i've waited for the coolest payday 2 assault music montage and got scammed",Artemis 'Zel,1,2021-07-03T13:15:32Z
86,UgzYUCZvucxT37KBRWB4AaABAg,"1:54 и да, у меня одной в голове заиграло :""You spin me rind round, baby, rind round, like a record, baby, rind round, rind round!""?🤔",Юль4а Play,1,2021-07-03T13:09:17Z
87,Ugw2SxGW9viQvbZKgZV4AaABAg,Как всегда превосходно,Стас Орел,0,2021-07-03T13:07:14Z
88,Ugz_eyuQkpBXBZTdZP14AaABAg,"2:17 О, слышу истошный визг яой фанатов, у которых кровь дала из носу в 3 ручья.",Юль4а Play,1,2021-07-03T13:06:54Z
89,Ugx7qdjkhF1JuZG0Iel4AaABAg,LETS GO NEW VIDEO,Vytcka ,0,2021-07-03T13:06:06Z
90,UgwYE1GGJvANpwj5AVB4AaABAg,Too much Nikolai. Liked anyway.,Виталий Милонов,0,2021-07-03T13:05:44Z
91,Ugz89KGFAtq9JafmkGx4AaABAg,С каждым разом все лучше и лучше,VAflya,0,2021-07-03T13:05:19Z
92,UgzxGT-D3wWmGmwnoaN4AaABAg,Перестарался.,Nakilon,0,2021-07-03T13:04:22Z
93,UgxfFaZM5jZgFiGDK7x4AaABAg,1:42 Stalker 2 leaked gameplay,Bredcan,8,2021-07-03T13:03:58Z
94,UgyQk4LXmM-2fFKPhJh4AaABAg,When Stay Out bideo? ;),OldRatGod,8,2021-07-03T13:01:04Z
95,UgxhjCagdlbYMnoAaRF4AaABAg,DAMN SON,SOLOMAN,1,2021-07-03T13:00:04Z
96,UgzAK29tv6h4qvhZTXx4AaABAg,Класс,Andrey 1257,1,2021-07-03T12:59:14Z
97,UgwQWUe4KKrLpn21H9h4AaABAg,"You know, you did a very good job of scaring the shit out of me everytime it crashed, because I thought my phone was killing itself",Russ,100,2021-07-03T12:57:47Z
98,UgzDnTl3VWwKPxcV8R14AaABAg,Nice,Eric Vaughan,1,2021-07-03T12:57:41Z
99,UgzpDYMEATiMJXgmlD14AaABAg,Привет,Сталкер Гоуст,1,2021-07-03T12:57:39Z
,id,comment,author,likecount,publishedAt
0,UgwMMNZc0ittto3aYFV4AaABAg,"Think Weapons, Think!",Joseph Manuel,0,2021-07-09T14:05:15Z
1,UgyB_6ROzNQy9omCq1p4AaABAg,Вы знаете русский,Алёна Горячькена,0,2021-07-09T05:51:43Z
2,Ugw4mDE5-GxAvc1xZ4Z4AaABAg,What is this based off of anyway?,TRISTAN GEORGE,0,2021-07-08T22:03:03Z
3,UgxaWLoDYr-cvTPZ7fV4AaABAg,Blin tak ne smeshno je,Jake Glimmer,0,2021-07-08T18:03:05Z
4,UgzQjN6eTsZFoC5XO854AaABAg,А поновее ничего нет,floor,0,2021-07-08T16:16:34Z
5,Ugy7tBxwJvo3QKU6XT94AaABAg,🤣👍,Rebb,0,2021-07-08T13:24:00Z
6,Ugz80Q7i-oTjaAfkr0t4AaABAg,Top,Maxim Thebear,0,2021-07-07T21:28:56Z
7,Ugyl7R-rsUEVedF5O854AaABAg,"finished all the three games, unable to understand this. is this a ref to something else that I'm not catching?",Felipe Yohan Sapio,0,2021-07-07T20:52:28Z
8,Ugx7dENN1TUpmfoXhvl4AaABAg,"THINK, MARKED ONE!",AllTheOthers,0,2021-07-07T07:34:35Z
9,Ugx_eLy3lxJf3CX_1lx4AaABAg,Think monolit.,Mr. TenKon,0,2021-07-07T00:32:08Z
10,UgwQ8USSFTE7tHUuI_t4AaABAg,ЗА МОНОЛИТ!,Фанатик,0,2021-07-06T14:25:28Z
11,Ugy8bRr2qc3qhEYQaHR4AaABAg,"So this video is like: Иди учи либо русский язык, либо английский, или ""на те в борщ!""",Дауд Гадаборшев,0,2021-07-05T20:07:22Z
12,UgyR_3WGofQIi9LO5tR4AaABAg,Omniman should be the Monolith Stalker.,Pedro Zalazar,0,2021-07-05T17:35:22Z
13,UgxOvvXQuCE2A3R11Yp4AaABAg,"""Говорят, если делать анимацию лиц, на которых есть маска, то это не Лень а Мастерство...""(С) Васян",Ярик Сягло,2,2021-07-04T20:43:32Z
14,UgzydinOPhvkzf7MhG54AaABAg,"Блин, так не смешно же!",FAG Sporco,0,2021-07-03T09:32:26Z
15,UgwLoPuqcJC_4y2QlKl4AaABAg,I only know of this through a Gmod map and out of curiosity what is it's origins,ẞ45h[ ] r,0,2021-07-02T19:49:25Z
16,UgyRlcG1Lr87A1-xQ214AaABAg,Translation: *candice*,Datboi Tatertot,0,2021-07-02T10:01:46Z
17,UgzlP5yZIPtqPd0jU_l4AaABAg,"Kinda fits since he's called ""MARKED"" one",Shut the fuck up,2,2021-06-28T09:12:59Z
18,UgxaAApRf5Sk-sCdOTZ4AaABAg,Mark does present a very solid and compelling argument though.,Lucas Tonoli,0,2021-06-28T02:03:22Z
19,UgyklHsrx4Qjq3HeA1B4AaABAg,Why have you  left us oh Monolith,Lucho,0,2021-06-27T21:22:02Z
20,UgwtGiTfQOZ1zMdy8yV4AaABAg,0:27,path of bread,0,2021-06-25T15:51:20Z
21,Ugy_SwGT_0FfK4lOshZ4AaABAg,Oh myyy,Vasya Voron 54 old rabbit,0,2021-06-25T08:35:16Z
22,UgxOjMr07zP0aMXywF14AaABAg,Dangerous psi emissions detected turn back now,Jacob Dying Extraordinaire,0,2021-06-24T20:33:35Z
23,UgxcPLFNOGNVUw3JPDV4AaABAg,"If you have subs on the Russia says 
“Berlin Technically”",Kai Smith,0,2021-06-24T02:13:10Z
24,UgyrFrZ-dAhwz7REnjl4AaABAg,"""EVERYONE and EVERYTHING you know, will be Wooorrrm Fooood.""",Xayte,2,2021-06-24T00:45:02Z
25,UgxgO9JT7TOSo4-Q4aZ4AaABAg,"""Invincible memes soon fellow stalker!""",Nicholas Schrader,0,2021-06-23T19:33:30Z
26,UgzWltuDOAaobx7XudR4AaABAg,"Is Google spying on me?
I get this recommendation as I'm playing SoC for the 4th time, offline!",Bharat Justa,0,2021-06-23T12:42:08Z
27,UgwmApmdC6nqOjqIWvR4AaABAg,"Are you trying to say
Loner > Clear Sky?",Your Local Cyborg,0,2021-06-23T02:35:03Z
28,UgzKtyacmZ6RChdeC4l4AaABAg,Do YOU really think i am the boss? Think! Stalker!,Blobster Hop,0,2021-06-22T17:34:51Z
