,parentId,authorDisplayName,replyComment,publishedAt,likeCount
55,UgwNe4MKE-M-lYfnTAl4AaABAg,George Corbul,"Sorry, I was wearing my sunglasses, but there's no need to neuralize people, the comment is 100% declassified truth! No hot-sheets needed!",2020-05-13T18:21:44Z,4
56,UgwNe4MKE-M-lYfnTAl4AaABAg,RiderNexus,We all owe Men in Black 2 an apology after that,2020-04-22T20:46:33Z,0
57,UgwNe4MKE-M-lYfnTAl4AaABAg,Coreansic 2.0,powermaxx15 SIR!,2019-07-17T13:42:27Z,3
58,UgyZnmCqRfTiUuaUFIJ4AaABAg,Stefano Pavone,"@unknown says me It's probably a side glance or a warning as if he's trying to say: ""Really? You DO know how powerful it is, don't you?""",2020-10-31T19:34:36Z,4
59,UgyZnmCqRfTiUuaUFIJ4AaABAg,unknown says me,I'm gonna break this damn thing,2020-08-25T04:26:48Z,0
60,UgyZnmCqRfTiUuaUFIJ4AaABAg,CrazyPigeon,He prolly doesn't know why he would want to put himself through that recoil again,2020-07-27T23:45:07Z,6
61,UgyZnmCqRfTiUuaUFIJ4AaABAg,James Hamilton,That's why he is confused because it's toooo powerful,2020-03-27T19:35:16Z,4
62,UgykZeLohnKZB-HKRcd4AaABAg,DrunkenGrandMaster,"It was pretty creepy, but in a good way. Like it made you feel tougher as you were watching it.",2020-12-19T01:28:14Z,0
63,UgykZeLohnKZB-HKRcd4AaABAg,Rishabh Rai,Couldn't agree more... Listening to this as a kid always gave me a very eerie n wierd feeling...,2020-12-12T22:00:46Z,0
64,UgykZeLohnKZB-HKRcd4AaABAg,Ishmael C,Same but I always wanted to walk like them every time to handle business,2019-08-08T03:06:10Z,6
65,UgykZeLohnKZB-HKRcd4AaABAg,Philip Roa,"That's what it must feel like when working for a super secret agency that dealt with extraterrestrials on the daily.

If that was the case, the theme song perfectly encapsulated that vibe.",2019-06-12T15:00:10Z,17
66,UgyDH3wk_x0tGUwaFmR4AaABAg,Chad Binger,@アキラ Not a cartoon,2020-09-23T02:10:41Z,0
67,UgyDH3wk_x0tGUwaFmR4AaABAg,Yori ThaDon,Can’t be better then x man animated series,2020-03-16T16:01:12Z,1
68,UgyDH3wk_x0tGUwaFmR4AaABAg,Navin Kumar,Extreme Ghostbusters is a good contender if you ask me but this takes the cake,2020-03-12T13:50:21Z,0
69,UgyDH3wk_x0tGUwaFmR4AaABAg,SPAAAAACE,definitely*,2019-07-20T04:34:55Z,0
70,UgyDH3wk_x0tGUwaFmR4AaABAg,アキラ,Cowboy Bebop,2019-07-11T10:43:35Z,0
71,Ugw2pjwWM3l85TWQbyF4AaABAg,Robert Nicholson,I would rather have that in a anime series than the real one,2021-06-02T13:17:52Z,1
72,Ugw2pjwWM3l85TWQbyF4AaABAg,George Corbul,"Agreed, absolutely!",2020-05-13T18:22:04Z,11
73,UgyzDbYkvKWDHdhTU214AaABAg,Anon,"0:29 for me, love office lady ass",2021-06-26T16:52:34Z,1
